Time(s),Gyro Reading,Command
0.0,-0.04,Hold Position
0.1,0.37,Stabilize Yaw
0.2,0.39,Stabilize Yaw
0.3,0.76,Stabilize Yaw
0.4,0.95,Activate Dampers
0.5,0.94,Activate Dampers
0.6,0.94,Activate Dampers
0.7,0.51,Stabilize Yaw
0.8,0.62,Stabilize Yaw
0.9,0.36,Stabilize Yaw
1.0,0.13,Hold Position
1.1,-0.14,Hold Position
1.2,-0.60,Stabilize Yaw
1.3,-1.02,Activate Dampers
1.4,-1.13,Activate Dampers
1.5,-0.97,Activate Dampers
1.6,-0.91,Activate Dampers
1.7,-0.60,Stabilize Yaw
1.8,-0.51,Stabilize Yaw
1.9,2.92,Activate Dampers
2.0,-0.50,Stabilize Yaw
2.1,4.28,Activate Dampers
2.2,0.18,Hold Position
2.3,7.26,Activate Dampers
2.4,3.84,Activate Dampers
2.5,-0.92,Activate Dampers
2.6,-2.53,Activate Dampers
2.7,-2.04,Activate Dampers
2.8,0.06,Hold Position
2.9,4.88,Activate Dampers
3.0,-0.39,Stabilize Yaw
3.1,-5.59,Activate Dampers
3.2,-1.17,Activate Dampers
3.3,-1.20,Activate Dampers
3.4,1.10,Activate Dampers
3.5,2.29,Activate Dampers
3.6,-2.08,Activate Dampers
3.7,3.21,Activate Dampers
3.8,0.57,Stabilize Yaw
3.9,3.32,Activate Dampers
4.0,-5.02,Activate Dampers
4.1,0.73,Stabilize Yaw
4.2,1.58,Activate Dampers
4.3,-4.11,Activate Dampers
4.4,-2.54,Activate Dampers
4.5,1.46,Activate Dampers
4.6,1.58,Activate Dampers
4.7,-5.96,Activate Dampers
4.8,-2.69,Activate Dampers
4.9,2.85,Activate Dampers
5.0,1.91,Activate Dampers
5.1,-5.88,Activate Dampers
5.2,0.68,Stabilize Yaw
5.3,0.96,Activate Dampers
5.4,2.02,Activate Dampers
5.5,5.76,Activate Dampers
5.6,2.25,Activate Dampers
5.7,-6.03,Activate Dampers
5.8,-0.21,Hold Position
5.9,-1.80,Activate Dampers
6.0,2.55,Activate Dampers
6.1,-0.32,Stabilize Yaw
6.2,5.35,Activate Dampers
6.3,4.36,Activate Dampers
6.4,-3.80,Activate Dampers
6.5,5.03,Activate Dampers
6.6,0.79,Stabilize Yaw
6.7,-1.37,Activate Dampers
6.8,-1.94,Activate Dampers
6.9,4.94,Activate Dampers
7.0,-4.93,Activate Dampers
7.1,-2.60,Activate Dampers
7.2,0.55,Stabilize Yaw
7.3,-4.30,Activate Dampers
7.4,-5.27,Activate Dampers
7.5,3.36,Activate Dampers
7.6,-0.11,Hold Position
7.7,-7.14,Activate Dampers
7.8,-4.36,Activate Dampers
7.9,-2.18,Activate Dampers
8.0,0.35,Stabilize Yaw
8.1,2.01,Activate Dampers
8.2,1.48,Activate Dampers
8.3,4.18,Activate Dampers
8.4,2.99,Activate Dampers
8.5,7.27,Activate Dampers
8.6,-0.02,Hold Position
8.7,-5.92,Activate Dampers
8.8,1.72,Activate Dampers
8.9,-2.39,Activate Dampers
9.0,-0.79,Stabilize Yaw
9.1,-2.10,Activate Dampers
9.2,-1.48,Activate Dampers
9.3,3.04,Activate Dampers
9.4,-3.45,Activate Dampers
9.5,-0.68,Stabilize Yaw
9.6,-2.73,Activate Dampers
9.7,-1.94,Activate Dampers
9.8,0.16,Hold Position
9.9,-4.90,Activate Dampers
